PassengerId,Survived,Pclass,Age,SibSp,Parch,Fare,Sex_female,Sex_male,Embarked_C,Embarked_Q,Embarked_S
1,0.0,1.0,0.375,0.2,0.0,0.11153846153846154,0.0,1.0,0.0,0.0,1.0
3,1.0,1.0,0.4583333333333333,0.0,0.0,0.12192307692307693,1.0,0.0,0.0,0.0,1.0
4,1.0,0.0,0.6458333333333334,0.2,0.0,0.816923076923077,1.0,0.0,0.0,0.0,1.0
5,0.0,1.0,0.6458333333333334,0.0,0.0,0.12384615384615386,0.0,1.0,0.0,0.0,1.0
6,0.0,1.0,0.5353982843137254,0.0,0.0,0.1301276923076923,0.0,1.0,0.0,1.0,0.0
9,1.0,1.0,0.4791666666666667,0.0,0.3333333333333333,0.17128153846153846,1.0,0.0,0.0,0.0,1.0
10,1.0,0.5,0.20833333333333334,0.2,0.0,0.4626276923076923,1.0,0.0,1.0,0.0,0.0
11,1.0,1.0,0.0,0.2,0.16666666666666666,0.2569230769230769,1.0,0.0,0.0,0.0,1.0
13,0.0,1.0,0.3333333333333333,0.0,0.0,0.12384615384615386,0.0,1.0,0.0,0.0,1.0
14,0.0,1.0,0.7291666666666666,0.2,0.8333333333333334,0.48115384615384615,0.0,1.0,0.0,0.0,1.0
15,0.0,1.0,0.20833333333333334,0.0,0.0,0.12083384615384615,1.0,0.0,0.0,0.0,1.0
18,1.0,0.5,0.5353982843137254,0.0,0.0,0.2,0.0,1.0,0.0,0.0,1.0
19,0.0,1.0,0.5625,0.2,0.0,0.27692307692307694,1.0,0.0,0.0,0.0,1.0
20,1.0,1.0,0.5353982843137254,0.0,0.0,0.11115384615384614,1.0,0.0,1.0,0.0,0.0
21,0.0,0.5,0.6458333333333334,0.0,0.0,0.4,0.0,1.0,0.0,0.0,1.0
22,1.0,0.5,0.625,0.0,0.0,0.2,0.0,1.0,0.0,0.0,1.0
23,1.0,1.0,0.22916666666666666,0.0,0.0,0.12352615384615384,1.0,0.0,0.0,1.0,0.0
24,1.0,0.0,0.5,0.0,0.0,0.5461538461538461,0.0,1.0,0.0,0.0,1.0
25,0.0,1.0,0.08333333333333333,0.6,0.16666666666666666,0.3242307692307692,1.0,0.0,0.0,0.0,1.0
26,1.0,1.0,0.7083333333333334,0.2,0.8333333333333334,0.48288461538461536,1.0,0.0,0.0,0.0,1.0
27,0.0,1.0,0.5353982843137254,0.0,0.0,0.11115384615384614,0.0,1.0,1.0,0.0,0.0
29,1.0,1.0,0.5353982843137254,0.0,0.0,0.12121846153846154,1.0,0.0,0.0,1.0,0.0
30,0.0,1.0,0.5353982843137254,0.0,0.0,0.12147384615384615,0.0,1.0,0.0,0.0,1.0
31,0.0,0.0,0.75,0.0,0.0,0.42647384615384615,0.0,1.0,1.0,0.0,0.0
33,1.0,1.0,0.5353982843137254,0.0,0.0,0.11923076923076924,1.0,0.0,0.0,1.0,0.0
36,0.0,0.0,0.7916666666666666,0.2,0.0,0.8,0.0,1.0,0.0,0.0,1.0
37,1.0,1.0,0.5353982843137254,0.0,0.0,0.11121846153846153,0.0,1.0,1.0,0.0,0.0
38,0.0,1.0,0.3541666666666667,0.0,0.0,0.12384615384615386,0.0,1.0,0.0,0.0,1.0
39,0.0,1.0,0.2916666666666667,0.4,0.0,0.27692307692307694,1.0,0.0,0.0,0.0,1.0
40,1.0,1.0,0.20833333333333334,0.2,0.0,0.17294923076923077,1.0,0.0,1.0,0.0,0.0
41,0.0,1.0,0.75,0.2,0.0,0.14576923076923076,1.0,0.0,0.0,0.0,1.0
42,0.0,0.5,0.4791666666666667,0.2,0.0,0.3230769230769231,1.0,0.0,0.0,0.0,1.0
43,0.0,1.0,0.5353982843137254,0.0,0.0,0.12147384615384615,0.0,1.0,1.0,0.0,0.0
45,1.0,1.0,0.3125,0.0,0.0,0.12121846153846154,1.0,0.0,0.0,1.0,0.0
46,0.0,1.0,0.5353982843137254,0.0,0.0,0.12384615384615386,0.0,1.0,0.0,0.0,1.0
47,0.0,1.0,0.5353982843137254,0.2,0.0,0.23846153846153847,0.0,1.0,0.0,1.0,0.0
